"shooterName","total_xReboundsPlus","total_xRebounds","total_shots","teamCode"
"Joona Koppanen"," 1.17975490","  1.0870542871",4,"PIT"
"Vasily Ponomarev"," 1.11237302","  1.4470255002",4,"PIT"
"Mark Friedman"," 1.05942691","  0.6345459350",6,"VAN"
"Brad Lambert"," 1.03372613","  1.5227449238",4,"WPG"
"Givani Smith"," 1.02318745","  1.9607435204",8,"COL"
"Alexander Alexeyev"," 1.02103201","  1.1238257475",6,"WSH"
"Dominic Toninato"," 0.98532256","  0.4557153027",3,"WPG"
"Brian Halonen"," 0.97458460","  1.3139042705",4,"NJD"
"Parker Ford"," 0.97236039","  1.1905877069",4,"WPG"
"Jacob Gaucher"," 0.97141677","  1.5225027711",4,"PHI"
"Angus Crookshank"," 0.92388450","  1.5038078576",4,"OTT"
"Sergei Bobrovsky"," 0.91471374","  1.3625209332",2,"FLA"
"Nathan Clurman"," 0.90760019","  0.9797744360",4,"PIT"
"Jake Lucchini"," 0.89916723","  0.8180040792",3,"NSH"
"Sonny Milano"," 0.87660986","  1.9907551855",4,"WSH"
"Tanner Laczynski"," 0.86133237","  2.0474506319",4,"VGK"
"Nolan Foote"," 0.84173371","  1.1318034530",6,"NJD"
"Justin Hryckowian"," 0.83213413","  1.4003088325",4,"DAL"
"Declan Carlile"," 0.78809295","  1.0184249748",6,"TBL"
"Arttu Hyry"," 0.74557164","  1.8505014181",5,"DAL"
"Joseph LaBate"," 0.74451757","  1.4841456413",4,"CBJ"
"Jason Polin"," 0.73560864","  0.9974798374",3,"COL"
"Clark Bishop"," 0.73049449","  1.0953037962",4,"CGY"
"Jani Hakanp"," 0.68218827","  0.5742361695",2,"TOR"
"Isak Rosen"," 0.67485714","  0.4834715873",2,"BUF"
"Chad Ruhwedel"," 0.66896105","  1.0746910535",4,"NYR"
"Cameron Atkinson"," 0.66795209","  1.1948625445",4,"TBL"
"Colin White"," 0.62154970","  1.4395525083",3,"SJS"
"Arvid Soderblom"," 0.60961586","  0.7931021452",1,"CHI"
"Nikita Grebenkin"," 0.60058014","  1.4349502474",4,"TOR"
"Josh Dunne"," 0.58540330","  1.1318236329",4,"BUF"
"Andrew Poturalski"," 0.55987471","  1.2342985943",5,"SJS"
"Vittorio Mancini"," 0.54779113","  0.7527891882",3,"VAN"
"Daemon Hunt"," 0.54026457","  0.6790533662",3,"MIN"
"Nathan Legare"," 0.52706307","  0.3449573368",3,"NJD"
"Liam Foudy"," 0.52460355","  0.1050976962",1,"NYI"
"Dylan Duke"," 0.51361853","  0.5470101237",1,"TBL"
"Pyotr Kochetkov"," 0.51139915","  0.7565486431",1,"CAR"
"Matej Blumel"," 0.50834790","  1.3012468219",2,"DAL"
"Jake Allen"," 0.49476653","  0.6733365655",1,"NJD"
"Dakota Mermis"," 0.48767473","  0.6079089195",2,"UTA"
"Luca Cagnoni"," 0.46983028","  0.1845186066",4,"SJS"
"Justin Sourdif"," 0.43672486","  0.9188607931",2,"FLA"
"Tye Felhaber"," 0.42489228","  0.7751490623",2,"COL"
"Erik Gudbranson"," 0.41265554","  0.3750991403",2,"CBJ"
"Isaak Phillips"," 0.40566389","  0.2792736189",3,"CHI"
"Connor Mackey"," 0.38823290","  0.1186011173",2,"NYR"
"Reese Johnson"," 0.37570605","  0.5965240002",1,"MIN"
"Shane Bowers"," 0.35350779","  0.4000420018",2,"NJD"
"Steven Santini"," 0.35211877","  0.5534590520",3,"TBL"
"Lucas Carlsson"," 0.33954872","  0.2308636680",2,"SJS"
"Rutger McGroarty"," 0.32840101","  0.2849063016",2,"PIT"
"Ilya Sorokin"," 0.31027928","  0.6858533621",1,"NYI"
"Oskar Olausson"," 0.30701221","  0.5779176205",3,"COL"
"Michael Sgarbossa"," 0.30549890","  0.1584064811",1,"WSH"
"Jacob Markstrom"," 0.30189943","  0.0487992018",1,"NJD"
"Rasmus Asplund"," 0.30164634","  0.6980582476",2,"FLA"
""," 0.29914301","  0.2576916309",7,"NJD"
"Lukas Dostal"," 0.28891507","  0.4036614597",1,"ANA"
"Kailer Yamamoto"," 0.25304329","  0.6454853117",2,"UTA"
"Linus Ullmark"," 0.21588342","  0.7970094085",1,"OTT"
"Kyle Capobianco"," 0.21576688","  0.0979921073",1,"DAL"
